AirlineIATA,FlightNumber,ScheduleTime,EstimatedTime,FlightNature,DestinationIATA,AircraftTypeIATA,Terminal,SeatCapacity
BA,BA1234,01/05/2023 08:30,01/05/2023 08:30,A,LHR,B777,T1,300
LH,LH5678,01/05/2023 09:15,01/05/2023 09:15,D,FRA,A320,T2,180
AF,AF7890,01/05/2023 10:00,01/05/2023 10:00,A,CDG,B787,T1,250
EK,EK1234,01/05/2023 12:30,01/05/2023 12:30,D,DXB,A380,T3,500
AA,AA4567,01/05/2023 14:45,01/05/2023 14:45,A,JFK,B777,T2,300
QF,QF7890,01/05/2023 16:20,01/05/2023 16:20,D,SYD,B787,T1,250
SQ,SQ1234,01/05/2023 18:00,01/05/2023 18:00,A,SIN,A350,T3,280
UA,UA5678,01/05/2023 19:30,01/05/2023 19:30,D,ORD,B777,T2,300
BA,BA4321,02/05/2023 07:45,02/05/2023 07:45,A,LHR,A320,T1,180
LH,LH8765,02/05/2023 08:30,02/05/2023 08:30,D,MUC,A321,T2,200
AF,AF0987,02/05/2023 09:15,02/05/2023 09:15,A,CDG,A330,T1,270
EK,EK4321,02/05/2023 11:00,02/05/2023 11:00,D,DXB,B777,T3,300
AA,AA7654,02/05/2023 13:30,02/05/2023 13:30,A,DFW,B787,T2,250
QF,QF0987,02/05/2023 15:15,02/05/2023 15:15,D,MEL,A380,T1,500
SQ,SQ4321,02/05/2023 17:00,02/05/2023 17:00,A,SIN,B777,T3,300
UA,UA8765,02/05/2023 18:45,02/05/2023 18:45,D,LAX,B787,T2,250 
