AirlineIATA,FlightNumber,ScheduledTime,EstimatedTime,FlightNature,DestinationIATA,AircraftTypeIATA,Terminal,SeatCapacity
BA,A,01/05/2023 08:30,01/05/2023 08:30,BA1234,LHR,B777,T1,300
LH,D,01/05/2023 09:15,01/05/2023 09:15,LH5678,FRA,A320,T2,180
AF,A,01/05/2023 10:00,01/05/2023 10:00,AF7890,CDG,B787,T1,250
EK,D,01/05/2023 12:30,01/05/2023 12:30,EK1234,DXB,A380,T3,500
AA,A,01/05/2023 14:45,01/05/2023 14:45,AA4567,JFK,B777,T2,300
QF,D,01/05/2023 16:20,01/05/2023 16:20,QF7890,SYD,B787,T1,250
SQ,A,01/05/2023 18:00,01/05/2023 18:00,SQ1234,SIN,A350,T3,280
UA,D,01/05/2023 19:30,01/05/2023 19:30,UA5678,ORD,B777,T2,300
BA,A,02/05/2023 07:45,02/05/2023 07:45,BA4321,LHR,A320,T1,180
LH,D,02/05/2023 08:30,02/05/2023 08:30,LH8765,MUC,A321,T2,200
AF,A,02/05/2023 09:15,02/05/2023 09:15,AF0987,CDG,A330,T1,270
EK,D,02/05/2023 11:00,02/05/2023 11:00,EK4321,DXB,B777,T3,300
AA,A,02/05/2023 13:30,02/05/2023 13:30,AA7654,DFW,B787,T2,250
QF,D,02/05/2023 15:15,02/05/2023 15:15,QF0987,MEL,A380,T1,500
SQ,A,02/05/2023 17:00,02/05/2023 17:00,SQ4321,SIN,B777,T3,300
UA,D,02/05/2023 18:45,02/05/2023 18:45,UA8765,LAX,B787,T2,250
